Category,Category_1,Category_2,Entity
geography/protected_listed_site,geography,protected_listed_site,Stele Forest
geography/protected_listed_site,geography,protected_listed_site,Weltmuseum Wien
geography/region_name,geography,region_name,Asia
geography/region_name,geography,region_name,Bath
geography/region_name,geography,region_name,Buffalo
geography/region_name,geography,region_name,Central Asia
geography/region_name,geography,region_name,East
geography/region_name,geography,region_name,East Asia
geography/region_name,geography,region_name,Europe
geography/region_name,geography,region_name,Gansu
geography/region_name,geography,region_name,Henan
geography/region_name,geography,region_name,Henri Gourdon
geography/region_name,geography,region_name,Hog Lane
geography/region_name,geography,region_name,Mongol Empire
geography/region_name,geography,region_name,New China Street
geography/region_name,geography,region_name,Northern and southern China
geography/region_name,geography,region_name,Old China
geography/region_name,geography,region_name,Pearl River Delta
geography/region_name,geography,region_name,Prefecture
geography/region_name,geography,region_name,Qi (state)
geography/region_name,geography,region_name,Republic China
geography/region_name,geography,region_name,Republic of China (1912–1949)
geography/region_name,geography,region_name,Roman Empire
geography/region_name,geography,region_name,Shaanxi
geography/region_name,geography,region_name,South China
geography/region_name,geography,region_name,States and union territories of India
geography/region_name,geography,region_name,Tonkin
geography/region_name,geography,region_name,Treaty ports
geography/region_name,geography,region_name,Western world
geography/region_name,geography,region_name,Wuwei Canton
geography/region_name,geography,region_name,Xu (state)
geography/region_name,geography,region_name,Yan (state)
geography/region_name,geography,region_name,Yue (state)
geography/region_name,geography,region_name,Zhejiang
geology/rock_type,geology,rock_type,Agate
geology/rock_type,geology,rock_type,Amber
geology/rock_type,geology,rock_type,Bronze
geology/rock_type,geology,rock_type,Chalcedony
geology/rock_type,geology,rock_type,Cinnabar
geology/rock_type,geology,rock_type,Clay
geology/rock_type,geology,rock_type,Coal
geology/rock_type,geology,rock_type,Diamond
geology/rock_type,geology,rock_type,Earth
geology/rock_type,geology,rock_type,Gemstone
geology/rock_type,geology,rock_type,Gold
geology/rock_type,geology,rock_type,Gold nugget
geology/rock_type,geology,rock_type,Ice
geology/rock_type,geology,rock_type,Jade
geology/rock_type,geology,rock_type,Jasper
geology/rock_type,geology,rock_type,Mani stone
geology/rock_type,geology,rock_type,Mineral
geology/rock_type,geology,rock_type,Nacre
geology/rock_type,geology,rock_type,Pearl
geology/rock_type,geology,rock_type,Rock (geology)
geology/rock_type,geology,rock_type,Soapstone
geology/rock_type,geology,rock_type,Soil
government/government_office_or_title,government,government_office_or_title,Civil service
government/government_office_or_title,government,government_office_or_title,Governor
government/government_office_or_title,government,government_office_or_title,Passport
government/government_office_or_title,government,government_office_or_title,Ruler
government/political_ideology,government,political_ideology,Far-left politics
government/political_ideology,government,political_ideology,Far-right politics
government/political_ideology,government,political_ideology,Politics
government/practice,government,practice,Exile
government/practice,government,practice,Lingchi
government/practice,government,practice,Punishment
history,history,history,Han dynasty
